,product_id,rcmd_product_id,score
0,48102821,22413470,0.5425611183696624
1,48102821,56365197,0.5215007745451471
2,48102821,52333193,0.5212602842594485
3,48102821,48273751,0.5190071929226318
4,48102821,26093257,0.5150545740807011
5,48102821,70772235,0.5146186610454867
6,48102821,56885678,0.4953294642630326
7,48102821,52889826,0.4897749014481357
8,52333193,52889826,0.9406329996992675
9,52333193,35373097,0.9082524859372859
10,52333193,26348659,0.8898235210831914
11,52333193,72928043,0.8657977547274417
12,52333193,48273751,0.7431273175035535
13,52333193,22413470,0.7203331238668751
14,52333193,75551911,0.6912404896093091
15,52333193,27977454,0.6805966137861506
16,299461,299431,0.8515236278184443
17,299461,56930154,0.737198466604015
18,299461,74267277,0.714502690544101
19,299461,389145,0.7067675904795556
20,299461,203734,0.6800170797228741
21,299461,54665,0.661860615917385
22,299461,899654,0.6602141669207829
23,299461,19359126,0.6422581870895144
24,57440329,54680052,0.49110279908473387
25,57440329,58298176,0.4452061281835131
26,57440329,67752435,0.41158639204000247
27,57440329,24408779,0.4095815836107019
28,57440329,68467585,0.4095671595351217
29,57440329,2859451,0.40357647133615254
30,57440329,48091364,0.4031624953588991
31,57440329,26093257,0.3971398339414218
32,38458616,73314682,0.5918177740324781
33,38458616,74285829,0.589822681351448
34,38458616,70817873,0.5712192302943033
35,38458616,76134137,0.5705950653185603
36,38458616,41574489,0.5585187223879051
37,38458616,59130781,0.5572592865638881
38,38458616,25770121,0.5522405605006186
39,38458616,58291928,0.5518229075442891
40,12567795,46623654,0.946359211047565
41,12567795,23459272,0.9320938534695177
42,12567795,38458616,0.4976644711974414
43,12567795,41574489,0.49163863253691986
44,12567795,73314682,0.4847284729146937
45,12567795,74285829,0.4844938125345273
46,12567795,4492151,0.4838508864657882
47,12567795,70817873,0.4810109335496292
48,4897521,855600,0.6164630622357764
49,4897521,25770121,0.5749024100669877
50,4897521,70817873,0.5699583878736996
51,4897521,76134137,0.5635827216227148
52,4897521,41574489,0.5608920439639417
53,4897521,73314682,0.5599059120459295
54,4897521,1935009,0.5588966782421602
55,4897521,74285829,0.5571044812550214
56,47321729,46841782,0.42699825237338646
57,47321729,48493605,0.39051693427510337
58,47321729,72881850,0.34760919530346335
59,47321729,59322576,0.3298177466521106
60,47321729,47271217,0.32542291904620907
61,47321729,65395332,0.3253603482615108
62,47321729,45661782,0.32007951276009605
63,47321729,70895043,0.31695549896386305
64,2638665,23368835,0.8944905115874969
65,2638665,591960,0.8738361572902938
66,2638665,855600,0.5626864342473931
67,2638665,4897521,0.5467094537490911
68,2638665,19408798,0.5382474920710381
69,2638665,12618638,0.5371798858538768
70,2638665,1935009,0.519060258562186
71,2638665,25770121,0.5142906484750065
72,25078249,4312979,0.5538465791359427
73,25078249,299461,0.5507179226191005
74,25078249,299431,0.5287291890409743
75,25078249,76781356,0.5276000963547058
76,25078249,19359126,0.5155714411564506
77,25078249,389145,0.5121309583801071
78,25078249,916784,0.5062594609860253
79,25078249,74267277,0.5053461291536329
80,389145,74267277,0.7994427934483401
81,389145,299461,0.7067675904795556
82,389145,203734,0.676175969926522
83,389145,299431,0.6576983842404593
84,389145,54665,0.6475783336356731
85,389145,56930154,0.587612498332666
86,389145,469404,0.5653319362096846
87,389145,19359126,0.5628467986913757
88,180912,208248,0.7047590371181736
89,180912,11241055,0.5817571041310143
90,180912,588800,0.5534392979643016
91,180912,122012,0.5349980735859294
92,180912,359483,0.5246169303227785
93,180912,595655,0.5245957196753046
94,180912,361277,0.5243655638394328
95,180912,11891181,0.5177513429506642
96,7820533,59322576,0.5136135883410723
97,7820533,65395332,0.5073280894632378
98,7820533,32586832,0.48907285056631333
99,7820533,70895043,0.4831473417550901
100,7820533,23482495,0.45628596408329347
101,7820533,1057882,0.43736725835661067
102,7820533,56320903,0.4361253826358457
103,7820533,73592303,0.4256847246533398
